index,Date,Country,Status,AQI,timeStamp,countryCode
268,2022-07-22,Thailand,Moderate,89.66666666666667,1658473200.0,127
269,2022-07-22,Togo,Moderate,80.33333333333333,1658473200.0,128
270,2022-07-22,Trinidad and Tobago,Good,41.333333333333336,1658473200.0,129
271,2022-07-22,Turkey,Moderate,84.0,1658473200.0,130
272,2022-07-22,Turkmenistan,Moderate,96.66666666666669,1658473200.0,131
273,2022-07-22,Uganda,Unhealthy,163.0,1658473200.0,132
274,2022-07-22,Ukraine,Good,45.66666666666666,1658473200.0,133
275,2022-07-22,United Arab Emirates,Moderate,84.33333333333333,1658473200.0,134
276,2022-07-22,United Kingdom of Great Britain and Northern Ireland,Good,46.333333333333336,1658473200.0,135
277,2022-07-22,United States of America,Moderate,89.66666666666667,1658473200.0,136
278,2022-07-22,Uzbekistan,Moderate,90.0,1658473200.0,137
279,2022-07-22,Vatican,Moderate,63.333333333333336,1658473200.0,138
280,2022-07-22,Venezuela,Good,13.0,1658473200.0,139
281,2022-07-22,Vietnam,Moderate,85.33333333333333,1658473200.0,140
282,2022-07-22,Zambia,Moderate,67.33333333333333,1658473200.0,141
283,2022-07-23,Albania,Good,17.5,1658559600.0,142
284,2022-07-23,Algeria,Moderate,65.0,1658559600.0,1
285,2022-07-23,Andorra,Good,39.0,1658559600.0,2
286,2022-07-23,Angola,Unhealthy for Sensitive Groups,107.0,1658559600.0,3
287,2022-07-23,Argentina,Moderate,55.5,1658559600.0,4
288,2022-07-23,Armenia,Good,41.5,1658559600.0,5
289,2022-07-23,Australia,Moderate,63.0,1658559600.0,6
290,2022-07-23,Austria,Good,29.5,1658559600.0,7
291,2022-07-23,Azerbaijan,Good,18.5,1658559600.0,8
292,2022-07-23,Bahrain,Unhealthy for Sensitive Groups,126.0,1658559600.0,9
293,2022-07-23,Bangladesh,Unhealthy for Sensitive Groups,141.0,1658559600.0,10
294,2022-07-23,Belarus,Good,49.0,1658559600.0,11
295,2022-07-23,Belgium,Moderate,59.0,1658559600.0,12
296,2022-07-23,Belize,Good,7.0,1658559600.0,13
297,2022-07-23,Bermuda,Good,13.0,1658559600.0,14
298,2022-07-23,Bolivia,Moderate,58.5,1658559600.0,15
299,2022-07-23,Bosnia and Herzegovina,Moderate,77.0,1658559600.0,16
300,2022-07-23,Brazil,Unhealthy for Sensitive Groups,117.0,1658559600.0,17
301,2022-07-23,Brunei,Good,10.0,1658559600.0,18
302,2022-07-23,Bulgaria,Good,42.0,1658559600.0,19
303,2022-07-23,Burkina Faso,Moderate,70.5,1658559600.0,20
304,2022-07-23,Cambodia,Good,15.0,1658559600.0,21
305,2022-07-23,Canada,Moderate,68.5,1658559600.0,22
306,2022-07-23,Cape Verde,Moderate,54.0,1658559600.0,23
307,2022-07-23,Cayman Islands,Good,1.5,1658559600.0,24
308,2022-07-23,Central African Republic,Moderate,86.5,1658559600.0,25
309,2022-07-23,Chad,Moderate,66.5,1658559600.0,26
310,2022-07-23,Chile,Unhealthy for Sensitive Groups,125.0,1658559600.0,27
311,2022-07-23,China,Unhealthy for Sensitive Groups,145.0,1658559600.0,28
312,2022-07-23,Colombia,Moderate,72.5,1658559600.0,29
313,2022-07-23,Costa Rica,Good,19.5,1658559600.0,30
314,2022-07-23,Croatia,Good,41.0,1658559600.0,31
315,2022-07-23,Cyprus,Good,45.5,1658559600.0,32
316,2022-07-23,Czech Republic,Moderate,77.5,1658559600.0,33
317,2022-07-23,Denmark,Good,12.0,1658559600.0,34
318,2022-07-23,Dominican Republic,Good,22.5,1658559600.0,35
319,2022-07-23,Ecuador,Moderate,64.0,1658559600.0,36
320,2022-07-23,Egypt,Moderate,86.0,1658559600.0,37
321,2022-07-23,El Salvador,Moderate,72.0,1658559600.0,38
322,2022-07-23,Estonia,Good,32.5,1658559600.0,39
323,2022-07-23,Ethiopia,Unhealthy for Sensitive Groups,141.0,1658559600.0,40
324,2022-07-23,Finland,Good,28.5,1658559600.0,41
325,2022-07-23,France,Moderate,83.5,1658559600.0,42
326,2022-07-23,French Guiana,Good,13.5,1658559600.0,43
327,2022-07-23,Gabon,Unhealthy,222.5,1658559600.0,44
328,2022-07-23,Gambia,Good,33.0,1658559600.0,45
329,2022-07-23,Georgia,Good,38.0,1658559600.0,46
330,2022-07-23,Germany,Moderate,60.5,1658559600.0,47
331,2022-07-23,Ghana,Moderate,96.5,1658559600.0,48
332,2022-07-23,Gibraltar,Moderate,50.5,1658559600.0,49
333,2022-07-23,Greece,Moderate,50.5,1658559600.0,50
334,2022-07-23,Grenada,Good,19.0,1658559600.0,51
335,2022-07-23,Guadeloupe,Good,11.5,1658559600.0,52
336,2022-07-23,Guam,Good,1.0,1658559600.0,53
337,2022-07-23,Guatemala,Moderate,53.5,1658559600.0,54
338,2022-07-23,Honduras,Good,8.5,1658559600.0,55
339,2022-07-23,Hong Kong,Moderate,50.5,1658559600.0,56
340,2022-07-23,Hungary,Moderate,71.0,1658559600.0,57
341,2022-07-23,Iceland,Good,10.0,1658559600.0,58
342,2022-07-23,India,Unhealthy for Sensitive Groups,143.5,1658559600.0,59
343,2022-07-23,Indonesia,Moderate,93.0,1658559600.0,60
344,2022-07-23,Iran,Unhealthy,156.0,1658559600.0,61
345,2022-07-23,Iraq,Unhealthy for Sensitive Groups,145.5,1658559600.0,62
346,2022-07-23,Ireland,Good,23.0,1658559600.0,63
347,2022-07-23,Israel,Unhealthy for Sensitive Groups,100.0,1658559600.0,64
348,2022-07-23,Italy,Unhealthy for Sensitive Groups,114.0,1658559600.0,65
349,2022-07-23,Ivory Coast,Moderate,60.0,1658559600.0,66
350,2022-07-23,Japan,Moderate,68.0,1658559600.0,67
351,2022-07-23,Jersey,Good,9.0,1658559600.0,68
352,2022-07-23,Jordan,Good,25.0,1658559600.0,69
353,2022-07-23,Kazakhstan,Moderate,63.5,1658559600.0,70
354,2022-07-23,Kenya,Unhealthy for Sensitive Groups,134.5,1658559600.0,71
355,2022-07-23,Kosovo,Moderate,52.5,1658559600.0,72
356,2022-07-23,Kuwait,Moderate,94.5,1658559600.0,73
357,2022-07-23,Kyrgyzstan,Good,43.5,1658559600.0,74
358,2022-07-23,Laos,Moderate,63.0,1658559600.0,75
359,2022-07-23,Latvia,Good,19.0,1658559600.0,76
360,2022-07-23,Lebanon,Moderate,76.0,1658559600.0,77
361,2022-07-23,Liberia,Good,36.5,1658559600.0,78
362,2022-07-23,Liechtenstein,Good,19.5,1658559600.0,79
363,2022-07-23,Lithuania,Good,49.5,1658559600.0,80
364,2022-07-23,Luxembourg,Good,43.5,1658559600.0,81
365,2022-07-23,Macao,Good,48.5,1658559600.0,82
366,2022-07-23,Macedonia,Moderate,61.0,1658559600.0,83
367,2022-07-23,Madagascar,Good,29.5,1658559600.0,84
368,2022-07-23,Malaysia,Moderate,60.5,1658559600.0,85
369,2022-07-23,Malta,Good,44.5,1658559600.0,86
370,2022-07-23,Martinique,Good,32.0,1658559600.0,87
371,2022-07-23,Mexico,Moderate,84.5,1658559600.0,88
372,2022-07-23,Moldova,Good,9.0,1658559600.0,89
373,2022-07-23,Monaco,Good,39.0,1658559600.0,90
374,2022-07-23,Mongolia,Good,39.5,1658559600.0,91
375,2022-07-23,Montenegro,Moderate,52.0,1658559600.0,92
376,2022-07-23,Myanmar,Good,29.5,1658559600.0,93
377,2022-07-23,Nepal,Good,25.5,1658559600.0,94
378,2022-07-23,Netherlands,Moderate,53.5,1658559600.0,95
379,2022-07-23,New Caledonia,Good,13.0,1658559600.0,96
380,2022-07-23,New Zealand,Moderate,78.5,1658559600.0,97
381,2022-07-23,Nigeria,Unhealthy for Sensitive Groups,105.0,1658559600.0,98
382,2022-07-23,Norway,Good,21.5,1658559600.0,99
383,2022-07-23,Pakistan,Moderate,91.0,1658559600.0,100
384,2022-07-23,Palestinian Territory,Moderate,58.0,1658559600.0,101
385,2022-07-23,Peru,Unhealthy for Sensitive Groups,129.0,1658559600.0,102
386,2022-07-23,Philippines,Moderate,83.0,1658559600.0,103
387,2022-07-23,Poland,Moderate,70.5,1658559600.0,104
388,2022-07-23,Portugal,Good,25.5,1658559600.0,105
389,2022-07-23,Puerto Rico,Good,7.5,1658559600.0,106
390,2022-07-23,Qatar,Unhealthy,183.0,1658559600.0,107
391,2022-07-23,Reunion,Good,23.0,1658559600.0,108
392,2022-07-23,Romania,Moderate,64.0,1658559600.0,109
393,2022-07-23,Russia,Unhealthy for Sensitive Groups,107.5,1658559600.0,110
394,2022-07-23,San Marino,Moderate,59.0,1658559600.0,111
395,2022-07-23,Senegal,Good,33.0,1658559600.0,113
396,2022-07-23,Serbia,Moderate,84.0,1658559600.0,114
397,2022-07-23,Singapore,Moderate,55.0,1658559600.0,115
398,2022-07-23,Slovakia,Moderate,65.0,1658559600.0,116
399,2022-07-23,Slovenia,Moderate,74.5,1658559600.0,117
400,2022-07-23,South Africa,Moderate,83.0,1658559600.0,118
401,2022-07-23,South Korea,Moderate,83.0,1658559600.0,119
402,2022-07-23,Spain,Unhealthy for Sensitive Groups,130.5,1658559600.0,120
403,2022-07-23,Sri Lanka,Moderate,50.0,1658559600.0,121
404,2022-07-23,Sudan,Moderate,83.0,1658559600.0,122
405,2022-07-23,Sweden,Good,13.5,1658559600.0,123
406,2022-07-23,Switzerland,Good,40.0,1658559600.0,124
407,2022-07-23,Taiwan,Moderate,57.0,1658559600.0,125
408,2022-07-23,Tajikistan,Moderate,57.5,1658559600.0,126
